"curve_id","temp","derivative","moving_avg","rate","od","auc","average_exponential_interval","average_max_percap_time","average_time_to_stationary","lag_time","Domain","Phylum","Class","Order","Family","Genus","Species","temperature_of_isolation","Area","Site_initials"
"1",15,29,21,0.253672429015842,0.0619930434782609,0.303183093152174,8.78979862383895,4.3,1.99,-2.49979862383895,"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas_E","Pseudomonas_E sp002901475",15,"Bay","J"
"1",23,29,21,0.606152359633461,0.336710869565218,3.05113315783696,4.88624444274339,4.3,1.99,1.40375555725661,"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas_E","Pseudomonas_E sp002901475",15,"Bay","J"
"1",28,29,21,0.765046822667587,0.301126086956522,3.16648792379348,3.086508791015,4.3,1.99,3.203491208985,"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas_E","Pseudomonas_E sp002901475",15,"Bay","J"
"1",33,29,21,0.462315310935159,0.138758695652174,1.11282752013152,6.4884813472967,5.045,1.99,0.5465186527033,"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas_E","Pseudomonas_E sp002901475",15,"Bay","J"
"1",38,29,21,0,0.00083878043478261,0.00754379991304349,105.460085731879,8.36,1.99,-91.2200857318788,"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas_E","Pseudomonas_E sp002901475",15,"Bay","J"
"1",43,29,21,0,0.00501058695652174,0.0911630827173913,4.98927449833577,4.47,1.99,1.47072550166424,"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas_E","Pseudomonas_E sp002901475",15,"Bay","J"
"2",15,29,21,0.212015623456387,0.0198375434782609,0.0587469833369564,4.160695587945,16.8,1.99,14.629304412055,"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas_E","",15,"Bay","J"
"2",23,29,21,0.510406142151108,0.203745652173913,1.46349137641305,2.19450065871968,7.695,1.99,7.49049934128031,"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas_E","",15,"Bay","J"
"2",28,29,21,0.718071182568943,0.199015217391305,2.19320520459783,2.89585921637275,4.465,1.99,3.55914078362725,"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas_E","",15,"Bay","J"
"2",33,29,21,0.325095922746223,0.0805739130434784,0.488077428776087,4.31583320355031,6.785,1.99,4.45916679644969,"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas_E","",15,"Bay","J"
